"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO2_tempmean_bdmean_NA","BO_sstmean_mean","BO2_tempmean_bdmean_mean","BO_sstmean_min","BO2_tempmean_bdmean_min","BO_sstmean_max","BO2_tempmean_bdmean_max","BO_sstmean_median","BO2_tempmean_bdmean_median","BO_sstmean_sd","BO2_tempmean_bdmean_sd","BO_sstmean_mad","BO2_tempmean_bdmean_mad","BO_sstmean_q5","BO2_tempmean_bdmean_q5","BO_sstmean_q95","BO2_tempmean_bdmean_q95"
"Hippasteria phrygiana",124043,4365,9,10,8.6743638737165,6.76599525621954,-1.58299994468689,-0.901624977588654,25.9360008239746,19.4784717559814,8.99499988555908,7.08759307861328,3.05826827877801,2.63835073218013,2.22538319950104,2.20736989002228,2.97199988365173,2.4910430431366,12.5080003738403,10.9716234207153
"Celleporella hyalina",111397,1820,134,134,10.9572597400176,10.6732609861377,-1.65400004386902,-1.69503796100616,29.4899997711182,27.3960247039795,10.9670000076294,10.9064340591431,2.05704790716906,2.04229105785318,0.919211830329895,0.763204410552978,9.52000045776367,7.94356298446655,12.6619997024536,12.300840139389
"Homarus americanus",156134,548634,11104,11104,7.93875758644513,7.1205407790191,-0.130999997258186,0.794709026813507,28.3470001220703,23.6762638092041,7.80900001525879,7.16335391998291,0.965498179729866,1.88051239500156,0.478879732131958,1.62057078065872,7.22599983215332,3.82565188407898,9.14999961853027,9.5176191329956
"Jassa marmorata",102433,606,183,111,12.4134042396895,10.3026591685441,-1.08700001239777,-0.94914299249649,28.2940006256104,27.0118045806885,11.8210000991821,11.8767223358154,4.73801221757736,6.18729662603995,1.95999794654846,2.25275522918701,5.62410006523132,-0.94658100605011,22.0112998962402,20.937629699707
"Lacuna vincta",140170,2928,148,148,9.87070831326272,9.58297848504224,2.10599994659424,1.1221330165863,13.5109996795654,13.8125877380371,10.1999998092651,10.0905961990356,1.58002017146769,1.7628333485887,0.88733576631546,1.03057904548645,7.0460000038147,6.91321277618408,11.9808500766754,11.8884572982788
"Laminaria digitata",145724,11705,647,664,10.6914455396915,10.1481145537239,-0.680999994277954,-0.158048003911972,29.9629993438721,29.0964679718018,10.3599996566772,10.187747001648,1.50101997886392,1.90762683232695,0.818395267868042,1.31204902439117,8.95699977874756,7.08278703689575,12.7779998779297,12.653528213501
"Littorina littorea",140262,17708,1962,1962,10.9351252377417,10.9559766536388,0.0359999984502792,-0.115002997219563,29.7320003509521,28.1382331848145,10.9340000152588,11.0074872970581,1.42565322849427,1.41192064909144,1.38030023803711,1.38381099529266,7.73699998855591,8.11964797973633,12.625500202179,12.6665735244751
"Membranipora membranacea",111411,10607,549,549,10.9878019382238,10.6242987306884,3.47099995613098,-0.137530997395515,29.5090007781982,28.6367301940918,10.9064998626709,10.5615453720093,1.51404346678215,1.44150133752584,1.44182827377319,1.15903204021454,8.89799976348877,8.9016923904419,12.878999710083,12.603931427002
"Metridium senile",100982,10331,1109,1109,11.127477876821,10.7920507856862,1.12800002098083,-0.847196996212006,29.1800003051758,28.9050731658936,11.0904998779297,10.8512344360352,1.40438677461697,1.32692266578223,1.36769799098968,1.08500780124664,9.20699977874756,9.09030914306641,12.9219999313354,12.5450239181519
"Clathria (Clathria) prolifera",167563,316,6,6,13.6828708617918,14.2472362518311,7.53499984741211,0.933403015136719,28.1189994812012,25.542760848999,12.0459995269775,14.1777477264404,4.10942332231263,3.86994121659926,1.41143611621857,3.40930018844604,9.31400012969971,10.2549390792847,24.386999130249,23.8308391571045
